image_path,original_text,clean_text,entities
data\media\nevacomputer_8774_1749650212.jpg,,,{}
data\media\nevacomputer_8775_1749650212.jpg,,,{}
data\media\nevacomputer_8776_1750487547.jpg,,,{}
data\media\nevacomputer_8777_1750487547.jpg,"ም

Rowaiiny product | QAffordable Price

፣
.

",ም Rowaiiny product QAffordable Price ፣ .,"{'prices': [], 'phones': [], 'products': []}"
data\media\nevacomputer_8778_1750487547.jpg,,,{}
data\media\nevacomputer_8779_1750487547.jpg,,,{}
data\media\Shageronlinestore_7306_1749278006.jpg,,,{}
data\media\Shageronlinestore_7307_1749458372.jpg,,,{}
data\media\Shageronlinestore_7308_1749458372.jpg,"Plastic Cake Turntable

360° rotation

",Plastic Cake Turntable 360 rotation,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7309_1749458372.jpg,,,{}
data\media\Shageronlinestore_7311_1749536810.jpg,,,{}
data\media\Shageronlinestore_7312_1749623471.jpg,,,{}
data\media\Shageronlinestore_7313_1749623471.jpg,,,{}
data\media\Shageronlinestore_7315_1749649778.jpg,,,{}
data\media\Shageronlinestore_7316_1749717407.jpg,"Multiple Charging Methods

Match with PC Port, Adapter, Power Bank

PC Port Adapter Power Bank
","Multiple Charging Methods Match with PC Port, Adapter, Power Bank PC Port Adapter Power Bank","{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7317_1749717407.jpg,"closed cylinder

Sofe petal shaped silicone
cushion, massage breast gently,
pain free

Breast-fit shape
anti-overflowdesign

Duckbill valve protects milk Cylinder

from infection and keeps it The closed system with

fresh anti-backflow silicone

ne ቺ - balloon design separates
gas and liquid.
","closed cylinder Sofe petal shaped silicone cushion, massage breast gently, pain free Breastfit shape antioverflowdesign Duckbill valve protects milk Cylinder from infection and keeps it The closed system with fresh antibackflow silicone ne ቺ balloon design separates gas and liquid.","{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7318_1749717407.jpg,"QUIET EXPRESSING
LOW VIBRATION

",QUIET EXPRESSING LOW VIBRATION,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7319_1749717407.jpg,"Breast pumping/Massage
9-speed adjustment

OW ዘዙኡ

Switch ). Less
",Breast pumpingMassage 9speed adjustment OW ዘዙኡ Switch . Less,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7320_1749717407.jpg,"y Breast Milk
Pumping

Pampering
astfeeding moms

",y Breast Milk Pumping Pampering astfeeding moms,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7323_1749723876.jpg,,,{}
data\media\Shageronlinestore_7324_1749723876.jpg,,,{}
data\media\Shageronlinestore_7325_1749723876.jpg,"\

",,{}
data\media\Shageronlinestore_7326_1749723876.jpg,,,{}
data\media\Shageronlinestore_7327_1749723876.jpg,"/

",,{}
data\media\Shageronlinestore_7329_1749795704.jpg,"EXPANDING COOKWARE ORGANIZER

10909522840

",EXPANDING COOKWARE ORGANIZER 10909522840,"{'prices': [], 'phones': ['0909522840'], 'products': []}"
data\media\Shageronlinestore_7330_1749795704.jpg,"| eden
NLINE STORE

EXPANDING COOKWARE ORGANIZER

[90909522840
",eden NLINE STORE EXPANDING COOKWARE ORGANIZER 90909522840,"{'prices': [], 'phones': ['909095228'], 'products': []}"
data\media\Shageronlinestore_7331_1749795704.jpg,"፴፮ከፀፀፀ፲፩
NLINE STORE

EXPANDING COOKWARE ORGANIZER

[90909522840
",፴፮ከፀፀፀ፲፩ NLINE STORE EXPANDING COOKWARE ORGANIZER 90909522840,"{'prices': [], 'phones': ['909095228'], 'products': []}"
data\media\Shageronlinestore_7332_1749814077.jpg,,,{}
data\media\Shageronlinestore_7333_1749814077.jpg,,,{}
data\media\Shageronlinestore_7334_1749814077.jpg,"2 ways to carry

",2 ways to carry,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7335_1749814077.jpg,,,{}
data\media\Shageronlinestore_7336_1749831806.jpg,,,{}
data\media\Shageronlinestore_7337_1749831806.jpg,,,{}
data\media\Shageronlinestore_7338_1749831806.jpg,,,{}
data\media\Shageronlinestore_7339_1749882765.jpg,,,{}
data\media\Shageronlinestore_7340_1749882765.jpg,,,{}
data\media\Shageronlinestore_7341_1749882765.jpg,"Enjoy life.
Make fresh juices with your family enjoy
making juices and living.

",Enjoy life. Make fresh juices with your family enjoy making juices and living.,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7343_1749896359.jpg,,,{}
data\media\Shageronlinestore_7344_1749896359.jpg,,,{}
data\media\Shageronlinestore_7345_1749896360.jpg,"Easy to Open and Fold

",Easy to Open and Fold,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7346_1749896360.jpg,,,{}
data\media\Shageronlinestore_7347_1749896360.jpg,,,{}
data\media\Shageronlinestore_7348_1750055755.jpg,"ALL IN ONE

1400W high power
11
It is powerful to use as an additional solid burner to warm sauces,

make soups, boil water,tea,cook pasta and vegetables
and do so much more.

a | ስ

","ALL IN ONE 1400W high power 11 It is powerful to use as an additional solid burner to warm sauces, make soups, boil water,tea,cook pasta and vegetables and do so much more. a ስ","{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7349_1750055755.jpg,,,{}
data\media\Shageronlinestore_7350_1750055755.jpg,,,{}
data\media\Shageronlinestore_7351_1750055755.jpg,"ወ The cone heating element (SS 201)

መ The track of heating element
(Galvanized plate 0.7mm)

ቹ Connecting lead rod (Nichrome)
9 Stainless steel cover (SS 0.6mm)

6 Body (Iron 0.7 MM)
@ Four side radiating hole(tron 0.7 mm)
@ Handle (Iron, plastic)

@ Adjustable automatic thermostatic knob(5 thermo
statically controlled heating settings for precise cooking. )

","ወ The cone heating element SS 201 መ The track of heating element Galvanized plate 0.7mm ቹ Connecting lead rod Nichrome 9 Stainless steel cover SS 0.6mm 6 Body Iron 0.7 MM Four side radiating holetron 0.7 mm Handle Iron, plastic Adjustable automatic thermostatic knob5 thermo statically controlled heating settings for precise cooking.","{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7352_1750073867.jpg,,,{}
data\media\Shageronlinestore_7353_1750073867.jpg,,,{}
data\media\Shageronlinestore_7354_1750073867.jpg,,,{}
data\media\Shageronlinestore_7355_1750073867.jpg,,,{}
data\media\Shageronlinestore_7356_1750073867.jpg,,,{}
data\media\Shageronlinestore_7357_1750073867.jpg,,,{}
data\media\Shageronlinestore_7360_1750145252.jpg,"፴ Gor መቋቋም የሚችሉ 8

የተለያዩ የመስታውት ፓትራዎች

",፴ Gor መቋቋም የሚችሉ 8 የተለያዩ የመስታውት ፓትራዎች,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7361_1750145252.jpg,,,{}
data\media\Shageronlinestore_7362_1750145252.jpg,,,{}
data\media\Shageronlinestore_7363_1750145252.jpg,,,{}
data\media\Shageronlinestore_7364_1750145252.jpg,,,{}
data\media\Shageronlinestore_7365_1750145252.jpg,,,{}
data\media\Shageronlinestore_7366_1750149684.jpg,,,{}
data\media\Shageronlinestore_7367_1750149684.jpg,,,{}
data\media\Shageronlinestore_7370_1750172121.jpg,,,{}
data\media\Shageronlinestore_7371_1750172121.jpg,,,{}
data\media\Shageronlinestore_7372_1750172121.jpg,,,{}
data\media\Shageronlinestore_7373_1750172121.jpg,,,{}
data\media\Shageronlinestore_7374_1750172121.jpg,,,{}
data\media\Shageronlinestore_7375_1750185140.jpg,"| Sieger
NLINE STORE

-

SPECIAL BASE FOR REFRIGERATOR AND
WASHING MACHINE

[90909522840

",Sieger NLINE STORE SPECIAL BASE FOR REFRIGERATOR AND WASHING MACHINE 90909522840,"{'prices': [], 'phones': ['909095228'], 'products': []}"
data\media\Shageronlinestore_7378_1750245550.jpg,,,{}
data\media\Shageronlinestore_7379_1750245551.jpg,,,{}
data\media\Shageronlinestore_7380_1750245551.jpg,,,{}
data\media\Shageronlinestore_7381_1750245551.jpg,,,{}
data\media\Shageronlinestore_7382_1750245551.jpg,,,{}
data\media\Shageronlinestore_7383_1750314691.jpg,"ም ጋውመጋያለ
በ WS ዬ. .

",ም ጋውመጋያለ በ WS ዬ. .,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7384_1750336290.jpg,,,{}
data\media\Shageronlinestore_7385_1750336290.jpg,"DOUBLE SIDED CLEANING BATH BRUSH

Deep cleansing without damaging the skin

",DOUBLE SIDED CLEANING BATH BRUSH Deep cleansing without damaging the skin,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7386_1750336290.jpg,"Double sided bristles to meet different needs

",Double sided bristles to meet different needs,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7387_1750336290.jpg,,,{}
data\media\Shageronlinestore_7388_1750336290.jpg,,,{}
data\media\Shageronlinestore_7389_1750336290.jpg,,,{}
data\media\Shageronlinestore_7390_1750402091.jpg,,,{}
data\media\Shageronlinestore_7391_1750410203.jpg,,,{}
data\media\Shageronlinestore_7392_1750410203.jpg,"TEMPERATURE DIAL

TemnepatypHbiii Ha6op
High/Low Temperature Designed for Different Fabrics
BbICOKaa / HU3KaA TeMNepaTypa ANA PasHbix ፐሂቋዛው።

cotton
",TEMPERATURE DIAL TemnepatypHbiii Ha6op HighLow Temperature Designed for Different Fabrics BbICOKaa HU3KaA TeMNepaTypa ANA PasHbix ፐሂቋዛው። cotton,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7393_1750420073.jpg,,,{}
data\media\Shageronlinestore_7394_1750420073.jpg,,,{}
data\media\Shageronlinestore_7395_1750433140.jpg,"3-in-1
multifunctional
razor

A personal care kit fora
new comfort experience

Hair clipper | 2 i] ( Razor }

",3in1 multifunctional razor A personal care kit fora new comfort experience Hair clipper 2 i Razor,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7396_1750433140.jpg,"MEN’S HAIR CLIPPER
",MENS HAIR CLIPPER,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7397_1750433140.jpg,"Hair trim suit

hair clipper
shaver
Nasal hair trim

",Hair trim suit hair clipper shaver Nasal hair trim,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7398_1750433141.jpg,"Multiple models in one

Free combination easy to use

",Multiple models in one Free combination easy to use,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7399_1750433141.jpg,"ሶስት በአንድ የያዘ የፀጉር ማሸን እና ሼቨር

@ ፣ፀጉር መቁረጫ

Cyrene AANA AS

1?

A

",ሶስት በአንድ የያዘ የፀጉር ማሸን እና ሼቨር ፣ፀጉር መቁረጫ Cyrene AANA AS 1? A,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7401_1750489355.jpg,"ሪ

Continuous water Quantitative effluent

>
RIC)

360° rotatable 304 stainless steel

ድ
©

Mute Baby water pipe
",ሪ Continuous water Quantitative effluent RIC 360 rotatable 304 stainless steel ድ Mute Baby water pipe,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7403_1750515320.jpg,,,{}
data\media\Shageronlinestore_7404_1750515321.jpg,"WERGANUASA

",WERGANUASA,"{'prices': [], 'phones': [], 'products': []}"
data\media\Shageronlinestore_7405_1750515321.jpg,"One key to break the wall

Simple and effortless operation

",One key to break the wall Simple and effortless operation,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6888_1749121031.jpg,"Electric dermabrasion depilator

Hair removal and dermabrasion in one

",Electric dermabrasion depilator Hair removal and dermabrasion in one,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6889_1749121032.jpg,"፡ ። መ ማ ። BOL ull KS

OQ 2% esaliexpress.com/item/32. + ፡

Translate page? fod

Translate
Spanish to English

Physical Hair
Removal Artifact

Just rub it gently on the body and the hair
will be swept away

4/8
",፡ ። መ ማ ። BOL ull KS OQ 2 esaliexpress.comitem32. ፡ Translate page? fod Translate Spanish to English Physical Hair Removal Artifact Just rub it gently on the body and the hair will be swept away 48,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6890_1749121032.jpg,"10:36 BY « SOLE ull KS

cay 55 es.aliexpress.com/item/32 +

>< Video pictura

Elegant And Charming Starting
From The Feet

6/8
",1036 BY SOLE ull KS cay 55 es.aliexpress.comitem32 Video pictura Elegant And Charming Starting From The Feet 68,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6891_1749121032.jpg,"10:56 BY © BOT ul CS

OQ 55 esaliexpress.com/item/32. ++ ፡

x deo pictura

Electric Beat Grinder

Comparison before and
after grinding feet

718
",1056 BY BOT ul CS OQ 55 esaliexpress.comitem32. ፡ x deo pictura Electric Beat Grinder Comparison before and after grinding feet 718,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6892_1749146242.jpg,,,{}
data\media\ZemenExpress_6893_1749146242.jpg,,,{}
data\media\ZemenExpress_6894_1749146242.jpg,,,{}
data\media\ZemenExpress_6895_1749146242.jpg,,,{}
data\media\ZemenExpress_6896_1749187153.jpg,"ለመላው የእስልምና እምነት ተከታዮች
በሙሉ እንኳን ለኢድ አል-አድሃ(ዓረፋ)
በዓል በሰላም አደረሳችሁ!

",ለመላው የእስልምና እምነት ተከታዮች በሙሉ እንኳን ለኢድ አልአድሃዓረፋ በዓል በሰላም አደረሳችሁ!,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6897_1749198248.jpg,,,{}
data\media\ZemenExpress_6898_1749198248.jpg,,,{}
data\media\ZemenExpress_6900_1749211285.jpg,"Built-in Battery &
Rechargeable Table Lamp

All-Night Companion

rechargeable
",Builtin Battery Rechargeable Table Lamp AllNight Companion rechargeable,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6901_1749211285.jpg,,,{}
data\media\ZemenExpress_6902_1749211285.jpg,,,{}
data\media\ZemenExpress_6903_1749211285.jpg,,,{}
data\media\ZemenExpress_6904_1749211285.jpg,,,{}
data\media\ZemenExpress_6906_1749454276.jpg,"“ARA ድ
OM ፍ

ዲጋበህዚ ኤ

ETDIB ፎ""
ጋ 8 RIP > 8

",ARA ድ OM ፍ ዲጋበህዚ ኤ ETDIB ፎ ጋ 8 RIP 8,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6908_1749455067.jpg,,,{}
data\media\ZemenExpress_6909_1749455067.jpg,"ALLA
ሃፇሃሃፇሃፇፇሃፇሃ
ዋሃሃሃፇዎኙ
",ALLA ሃፇሃሃፇሃፇፇሃፇሃ ዋሃሃሃፇዎኙ,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6910_1749455067.jpg,"ጋ

| oO
=
=
oO
=

Stock

OD ፣

[.
",ጋ oO oO Stock OD ፣ .,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6911_1749455067.jpg,,,{}
data\media\ZemenExpress_6912_1749473372.jpg,,,{}
data\media\ZemenExpress_6913_1749473372.jpg,,,{}
data\media\ZemenExpress_6914_1749473372.jpg,,,{}
data\media\ZemenExpress_6915_1749473372.jpg,,,{}
data\media\ZemenExpress_6917_1749547918.jpg,,,{}
data\media\ZemenExpress_6918_1749547918.jpg,,,{}
data\media\ZemenExpress_6919_1749547918.jpg,,,{}
data\media\ZemenExpress_6920_1749547918.jpg,"High quality fiber rib
more stable & windproof

Black Coating, UV Resistant
። Improved sun protection and
‘effective heat insulation

፣
፣
1]
፣

፣
]
1
]
፣
፤
]
1
፤
፣
፣
1
.

Thick and Sturdy
Five bone segments connected,
folding to smaller
","High quality fiber rib more stable windproof Black Coating, UV Resistant ። Improved sun protection and effective heat insulation ፣ ፣ 1 ፣ ፣ 1 ፣ ፤ 1 ፤ ፣ ፣ 1 . Thick and Sturdy Five bone segments connected, folding to smaller","{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6921_1749547918.jpg,,,{}
data\media\ZemenExpress_6922_1749547918.jpg,". ኤ a |
ፌ፲ ፦
. ዓ

/ =<

ሮ። = 6 ~. @

Small and light to put into a bag

",. ኤ a ፌ፲ ፦ . ዓ ሮ። 6 . Small and light to put into a bag,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6923_1749617696.jpg,,,{}
data\media\ZemenExpress_6924_1749617696.jpg,"Small and exquisite
Multi-purpose machine
Not only warm milk

but also meet a variety
of needs in life

",Small and exquisite Multipurpose machine Not only warm milk but also meet a variety of needs in life,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6925_1749617696.jpg,"after
sterilization

",after sterilization,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6929_1749617791.jpg,"= =,
WARMS UP MILKIN Fm
5 MINUTES

Cope with hungry babies at any
time to make it easier for mothers

",", WARMS UP MILKIN Fm 5 MINUTES Cope with hungry babies at any time to make it easier for mothers","{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6930_1749617791.jpg,,,{}
data\media\ZemenExpress_6931_1749617792.jpg,,,{}
data\media\ZemenExpress_6933_1749703972.jpg,"Side-open

",Sideopen,"{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6934_1749703972.jpg,,,{}
data\media\ZemenExpress_6935_1749703972.jpg,,,{}
data\media\ZemenExpress_6936_1749722405.jpg,,,{}
data\media\ZemenExpress_6937_1749722405.jpg,,,{}
data\media\ZemenExpress_6939_1749798902.jpg,,,{}
data\media\ZemenExpress_6940_1749798902.jpg,,,{}
data\media\ZemenExpress_6941_1749798902.jpg,,,{}
data\media\ZemenExpress_6942_1749798902.jpg,,,{}
data\media\ZemenExpress_6943_1749798902.jpg,,,{}
data\media\ZemenExpress_6944_1749798902.jpg,"Food Grade silicone
and heat resistant

Made of safe silicone material, avoid
bacterial growth, disinfect with hot water
below 160°C or microwave oven

Super elasticity and durable

Good elasticity and self-restorability
make it non-fragile and very durable

Not easy to curl and break

Using the cleaning power of the
silicone brush, the magic gel is not
easy to curl and break.

","Food Grade silicone and heat resistant Made of safe silicone material, avoid bacterial growth, disinfect with hot water below 160C or microwave oven Super elasticity and durable Good elasticity and selfrestorability make it nonfragile and very durable Not easy to curl and break Using the cleaning power of the silicone brush, the magic gel is not easy to curl and break.","{'prices': [], 'phones': [], 'products': []}"
data\media\ZemenExpress_6947_1749804162.jpg,,,{}
data\media\ZemenExpress_6948_1749804163.jpg,,,{}
data\media\ZemenExpress_6949_1749804163.jpg,,,{}
data\media\ZemenExpress_6950_1749815691.jpg,,,{}
data\media\ZemenExpress_6951_1749815691.jpg,,,{}
data\media\ZemenExpress_6952_1749815691.jpg,,,{}
data\media\ZemenExpress_6953_1749815691.jpg,,,{}
data\media\ZemenExpress_6959_1749886741.jpg,,,{}
data\media\ZemenExpress_6960_1749886741.jpg,"5 layers design, can hang more clothes
","5 layers design, can hang more clothes","{'prices': [], 'phones': [], 'products': []}"
